case,repetition,structure,ns_per_lookup,metadata_bytes,bytes_per_managed_mib,checksum,elapsed_seconds
random-d100-r256-rs21-gs12,7,memx_flat_fallback,2.9494,1048776,2048.39,0xb7a9108205ed60d6,0.3888901120008086
uniform-d0-r256-rs21-gs12,7,flat,3.1568,1048608,2048.06,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,flat_assume_mapped,3.2566,1048608,2048.06,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,two_level,4.4343,1052744,2056.14,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,radix,7.123,1083488,2116.19,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,cached_radix,8.0934,1083744,2116.69,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_bounded,5.8477,2248,4.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_bounded_assume_mapped,2.2977,2248,4.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_bounded_trusted,2.3335,2248,4.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_bounded_branchless,3.3379,2256,4.41,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_overlay_checked,4.8404,2248,4.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_overlay_trusted,2.3538,2248,4.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,7,memx_sparse,5.9053,196808,384.39,0x9db2929b7fb88c91,0.3335944969949196
uniform-d0-r256-rs21-gs12,8,flat,3.1256,1048608,2048.06,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,flat_assume_mapped,3.2283,1048608,2048.06,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,two_level,4.9161,1052744,2056.14,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,radix,6.7528,1083488,2116.19,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,cached_radix,8.1088,1083744,2116.69,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_bounded,5.5713,2248,4.39,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_bounded_assume_mapped,2.3821,2248,4.39,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_bounded_trusted,2.374,2248,4.39,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_bounded_branchless,3.1672,2256,4.41,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_overlay_checked,4.8715,2248,4.39,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_overlay_trusted,2.7063,2248,4.39,0x9db2929b7fb88c91,0.3345478949995595
uniform-d0-r256-rs21-gs12,8,memx_sparse,5.7631,196808,384.39,0x9db2929b7fb88c91,0.3345478949995595
random-d100-r256-rs21-gs12,8,flat,3.1962,1048608,2048.06,0xb7a9108205ed60d6,0.39881229299498955
random-d100-r256-rs21-gs12,8,flat_assume_mapped,3.0737,1048608,2048.06,0xb7a9108205ed60d6,0.39881229299498955
random-d100-r256-rs21-gs12,8,two_level,4.2246,1052744,2056.14,0xb7a9108205ed60d6,0.39881229299498955
random-d100-r256-rs21-gs12,8,radix,6.9494,1083488,2116.19,0xb7a9108205ed60d6,0.39881229299498955
random-d100-r256-rs21-gs12,8,cached_radix,7.9554,1083744,2116.69,0xb7a9108205ed60d6,0.39881229299498955
